tree,treatment,lacebugs_m2,time,light
W01,control,0.921099287,may,6.5
W02,exclosure,1.50653807,may,10.25
W03,exclosure,0.503682525,may,7.75
W04,control,0.140601853,may,7
W05,exclosure,0,may,15.25
W07,control,2.19140008,may,22.75
W09,exclosure,1.341926819,may,20.675
W10,control,0.253919373,may,13.5
W11,exclosure,0.682289543,may,9.25
W12,control,0.813426057,may,9.75
W13,control,0.162549803,may,4.75
W14,exclosure,0,may,5.25
W17,control,0.226951436,may,5.75
W18,control,0.499375378,may,4.75
W19,exclosure,0.10813397,may,9
W20,exclosure,0.11293268,may,7.25
W21,control,0,may,7.25
W22,exclosure,2.896906479,may,8
W24,control,0.904420282,may,5
W25,control,0.638961016,may,7.5
W26,exclosure,0.486777753,may,6.75
W27,exclosure,0.731563461,may,6
W28,control,0.169574341,may,10
W29,exclosure,0.609448976,may,6.5
W31,control,0.618711385,may,11.5
W32,exclosure,0,may,17.5
W34,control,1.888543018,may,10.25
W35,exclosure,0.917744676,may,7
W36,control,0.531002717,may,4.25
W37,exclosure,0.740553557,may,15.25
W38,control,0.805673152,may,9.25
W39,exclosure,0.503899848,may,4.75
W40,exclosure,2.091613622,may,11.75
W41,control,3.116862025,may,11.25
W43,exclosure,0.600315373,may,7.75
W44,exclosure,0.409169827,may,3.5
W45,control,0.243691576,may,9
W47,exclosure,0.488588029,may,3.75
W48,control,0.491529167,may,6.25
W49,control,0.97453542,may,4
W50,control,0,may,10.75
W51,exclosure,0.365212513,may,5
W54,control,0.10516039,may,9.5
W55,exclosure,0.463398713,may,5.25
W57,control,0.318473954,may,7
W58,exclosure,0.877333885,may,15.5
W59,control,0.934572379,may,10.25
W60,exclosure,0.344481306,may,7.25
W61,exclosure,1.132785158,may,8.25
W62,control,0.216350592,may,9.75
W63,exclosure,1.303037802,may,4.25
W64,exclosure,0.407847654,may,20
W65,control,2.237506118,may,12
W66,control,1.246024095,may,6.5
W67,control,0.76643467,may,7.75
W70,exclosure,0,may,6.75
W01,control,0.828752572,jul,6.5
W02,exclosure,0,jul,10.25
W03,exclosure,0.382692119,jul,7.75
W04,control,0,jul,7
W05,exclosure,0.928630641,jul,15.25
W07,control,1.456803345,jul,22.75
W09,exclosure,2.294272704,jul,20.675
W10,control,1.074056727,jul,13.5
W11,exclosure,1.237063808,jul,9.25
W12,control,0.727782048,jul,9.75
W13,control,0.460020547,jul,4.75
W14,exclosure,0.342030096,jul,5.25
W17,control,0,jul,5.75
W18,control,0.315394976,jul,4.75
W19,exclosure,0.115401037,jul,9
W20,exclosure,1.996358345,jul,7.25
W21,control,0,jul,7.25
W22,exclosure,4.138437827,jul,8
W24,control,0.212804772,jul,5
W25,control,0.406740281,jul,7.5
W26,exclosure,0.233653322,jul,6.75
W27,exclosure,0.923811533,jul,6
W28,control,0.57130403,jul,10
W29,exclosure,0.951334987,jul,6.5
W31,control,0,jul,11.5
W32,exclosure,0.144722428,jul,17.5
W34,control,1.45384864,jul,10.25
W35,exclosure,1.718599325,jul,7
W36,control,0.801390603,jul,4.25
W37,exclosure,0.514599826,jul,15.25
W38,control,0.612887076,jul,9.25
W39,exclosure,0.526575341,jul,4.75
W40,exclosure,0.212026586,jul,11.75
W41,control,1.276285807,jul,11.25
W43,exclosure,2.133409179,jul,7.75
W44,exclosure,1.239908566,jul,3.5
W45,control,0.319014427,jul,9
W47,exclosure,0.619109181,jul,3.75
W48,control,0.459228678,jul,6.25
W49,control,1.113754766,jul,4
W50,control,1.182570905,jul,10.75
W51,exclosure,0.221194748,jul,5
W54,control,0.503455367,jul,9.5
W55,exclosure,0.277356085,jul,5.25
W57,control,0.194258168,jul,7
W58,exclosure,0.822213432,jul,15.5
W59,control,0.607123697,jul,10.25
W60,exclosure,0.287776565,jul,7.25
W61,exclosure,0.167739341,jul,8.25
W62,control,0.203589967,jul,9.75
W63,exclosure,1.319181633,jul,4.25
W64,exclosure,1.794529678,jul,20
W65,control,1.918222955,jul,12
W66,control,1.902289533,jul,6.5
W67,control,0.863502914,jul,7.75
W70,exclosure,0.352832449,jul,6.75
W01,control,0.32238475,sep,6.5
W02,exclosure,0,sep,10.25
W03,exclosure,0.212731796,sep,7.75
W04,control,0,sep,7
W05,exclosure,3.19045814,sep,15.25
W07,control,2.60361199,sep,22.75
W09,exclosure,1.114807372,sep,20.675
W10,control,0.561367695,sep,13.5
W11,exclosure,1.110392786,sep,9.25
W12,control,0,sep,9.75
W13,control,0.729011238,sep,4.75
W14,exclosure,0.16214395,sep,5.25
W17,control,0.263349308,sep,5.75
W18,control,0,sep,4.75
W19,exclosure,0,sep,9
W20,exclosure,0.812268302,sep,7.25
W21,control,0.284267506,sep,7.25
W22,exclosure,2.559515765,sep,8
W24,control,0.347853954,sep,5
W25,control,0,sep,7.5
W26,exclosure,0,sep,6.75
W27,exclosure,0.132412986,sep,6
W28,control,0,sep,10
W29,exclosure,0,sep,6.5
W31,control,0,sep,11.5
W32,exclosure,0,sep,17.5
W34,control,0.132509578,sep,10.25
W35,exclosure,0.4457617,sep,7
W36,control,0,sep,4.25
W37,exclosure,0.127081055,sep,15.25
W38,control,0.093929054,sep,9.25
W39,exclosure,0,sep,4.75
W40,exclosure,0.19347426,sep,11.75
W41,control,0,sep,11.25
W43,exclosure,0,sep,7.75
W44,exclosure,0.498987594,sep,3.5
W45,control,0.13483799,sep,9
W47,exclosure,0.339666905,sep,3.75
W48,control,0,sep,6.25
W49,control,0,sep,4
W50,control,0.790620321,sep,10.75
W51,exclosure,0.486444882,sep,5
W54,control,0.199388264,sep,9.5
W55,exclosure,0.108751374,sep,5.25
W57,control,0.096879395,sep,7
W58,exclosure,0,sep,15.5
W59,control,0.181326066,sep,10.25
W60,exclosure,0.452619451,sep,7.25
