plot,date,day_num,year,veg,treatment,N_ppm
1,12/1/12,0,2013,Native,0.5,58.274
2,12/1/12,0,2013,Exotic,0.5,38.7795
3,12/1/12,0,2013,Native,1,39.8093
4,12/1/12,0,2013,Exotic,1,48.6296
5,12/1/12,0,2013,Native,0.5,99.705
6,12/1/12,0,2013,Exotic,0.5,34.5681
7,12/1/12,0,2013,Native,1.5,48.3561
8,12/1/12,0,2013,Exotic,1.5,22.2693
9,12/1/12,0,2013,Native,1,71.8601
10,12/1/12,0,2013,Exotic,1,34.671
11,12/1/12,0,2013,Native,1,56.9781
12,12/1/12,0,2013,Exotic,1,98.0506
13,12/1/12,0,2013,Native,1,.
14,12/1/12,0,2013,Exotic,1,41.2801
15,12/1/12,0,2013,Native,1.5,69.2774
16,12/1/12,0,2013,Exotic,1.5,23.2475
17,12/1/12,0,2013,Native,0.5,87.5297
18,12/1/12,0,2013,Exotic,0.5,52.4261
19,12/1/12,0,2013,Native,1,84.8826
20,12/1/12,0,2013,Exotic,1,43.1333
21,12/1/12,0,2013,Native,1.5,95.8712
22,12/1/12,0,2013,Exotic,1.5,38.1564
1,3/1/13,90,2013,Native,0.5,40.1897
2,3/1/13,90,2013,Exotic,0.5,29.6652
3,3/1/13,90,2013,Native,1,75.5652
4,3/1/13,90,2013,Exotic,1,39.5163
5,3/1/13,90,2013,Native,0.5,34.6472
6,3/1/13,90,2013,Exotic,0.5,53.7513
7,3/1/13,90,2013,Native,1.5,37.9313
8,3/1/13,90,2013,Exotic,1.5,25.2649
9,3/1/13,90,2013,Native,1,56.0539
10,3/1/13,90,2013,Exotic,1,47.8996
11,3/1/13,90,2013,Native,1,40.6436
12,3/1/13,90,2013,Exotic,1,15.3978
13,3/1/13,90,2013,Native,1,49.917
14,3/1/13,90,2013,Exotic,1,36.8339
15,3/1/13,90,2013,Native,1.5,.
16,3/1/13,90,2013,Exotic,1.5,11.6911
17,3/1/13,90,2013,Native,0.5,92.7109
18,3/1/13,90,2013,Exotic,0.5,32.3113
19,3/1/13,90,2013,Native,1,17.9937
20,3/1/13,90,2013,Exotic,1,19.4183
21,3/1/13,90,2013,Native,1.5,39.008
22,3/1/13,90,2013,Exotic,1.5,12.1557
1,2/10/14,436,2014,Native,0.5,74.9459
2,2/10/14,436,2014,Exotic,0.5,68.0174
3,2/10/14,436,2014,Native,1,65.5518
4,2/10/14,436,2014,Exotic,1,48.4988
5,2/10/14,436,2014,Native,0.5,137.4172
6,2/10/14,436,2014,Exotic,0.5,94.8224
7,2/10/14,436,2014,Native,1.5,50.5579
8,2/10/14,436,2014,Exotic,1.5,32.6082
13,2/10/14,436,2014,Native,1,55.8235
14,2/10/14,436,2014,Exotic,1,37.961
15,2/10/14,436,2014,Native,1.5,60.3792
16,2/10/14,436,2014,Exotic,1.5,54.5119
