survive	length	alar	weight	lbh	lhum	lfem	ltibio	wskull	lkeel
1	154	41	4.5	31.0	0.687	0.668	1.000	0.587	0.83
0	165	40	6.5	31	0.738	0.704	1.095	0.606	0.847
0	160	45	6.1	30	0.736	0.709	1.109	0.611	0.840
1	160	50	6.9	30.8	0.736	0.709	1.18	0.600	0.841
1	155	43	6.9	30.6	0.733	0.704	1.151	0.600	0.846
0	161	49	5.6	30.3	0.743	0.718	1.108	0.600	0.808
1	154	45	4.3	31.7	0.741	0.688	1.146	0.584	0.839
0	160	46	5.9	30.3	0.738	0.709	1.135	0.607	0.869
1	156	47	4.1	31.5	0.715	0.706	1.109	0.575	0.801
0	163	50	5.5	30.5	0.750	0.731	1.197	0.603	0.888
1	161	53	6.5	31.8	0.78	0.743	1.144	0.607	0.893
0	160	47	7.6	31.8	0.731	0.719	1.113	0.597	0.869
1	157	51	4.6	31.1	0.741	0.736	1.153	0.61	0.860
0	163	46	5.8	31.4	0.689	0.660	1.073	0.604	0.836
1	159	47	4.0	31.4	0.708	0.718	1.106	0.609	0.793
0	161	46	4.9	30.5	0.739	0.706	1.138	0.58	0.803
0	160	40	6	31	0.745	0.713	1.105	0.6	0.803
1	158	50	6.0	30	0.749	0.739	1.153	0.614	0.857
0	160	46	6.5	31.5	0.70	0.696	1.090	0.606	0.809
0	160	49	6	31.4	0.706	0.689	1.097	0.600	0.85
1	160	50	6.0	30	0.741	0.703	1.109	0.604	0.890
0	161	50	7.1	31.6	0.737	0.711	1.10	0.631	0.850
1	160	53	4.8	30.3	0.766	0.750	1.134	0.633	0.903
1	161	43	5.4	31.8	0.701	0.700	1.106	0.597	0.891
0	160	48	5.1	31.9	0.744	0.700	1.154	0.591	0.839
0	165	50	6	30.3	0.706	0.71	1.145	0.609	0.887
1	159	47	5.7	31.4	0.709	0.717	1.141	0.590	0.907
0	161	43	5.6	30.5	0.709	0.707	1.100	0.607	0.830
1	158	53	5.7	31.9	0.743	0.699	1.15	0.6	0.86
0	161	44	5	31.3	0.700	0.685	1.080	0.595	0.874
1	159	47	6.5	31.6	0.733	0.714	1.155	0.611	0.903
0	160	48	4.6	31	0.713	0.709	1.086	0.59	0.837
0	164	44	5	31.0	0.703	0.69	1.074	0.608	0.795
1	166	53	6.7	30.5	0.767	0.765	1.03	0.6	0.878
0	158	47	6	30	0.709	0.71	1.145	0.607	0.803
1	159	47	3.9	31.4	0.750	0.703	1.113	0.600	0.805
1	160	48	4.7	31.3	0.750	0.737	1.176	0.603	0.803
0	160	53	8.3	31.8	0.750	0.718	1.150	0.609	0.857
0	156	39	4.6	30.5	0.659	0.658	1.040	0.57	0.81
1	161	50	8	31.8	0.77	0.731	1.19	0.59	0.885
1	163	51	7.9	31.9	0.769	0.745	1.168	0.600	0.86
0	166	51	7.5	31.5	0.70	0.691	1.118	0.610	0.847
1	156	40	5.9	30	0.703	0.711	1.116	0.609	0.886
1	165	51	5.7	30.0	0.751	0.740	1.161	0.613	0.865
0	166	50	8.3	30.4	0.754	0.718	1.179	0.607	0.916
1	160	47	6.6	30.4	0.708	0.707	1.108	0.59	0.836
1	158	44	3.0	31.6	0.73	0.713	1.140	0.585	0.888
1	160	40	5.7	31.6	0.709	0.705	1.104	0.60	0.788
1	157	45	6.3	30.0	0.741	0.706	1.143	0.595	0.85
1	159	44	4.3	31.5	0.703	0.698	1.107	0.615	0.847
1	160	53	6.7	30.1	0.739	0.714	1.117	0.590	0.864
1	158	45	4.9	31.4	0.706	0.703	1.119	0.58	0.854
1	161	47	3.8	31.4	0.735	0.694	1.101	0.600	0.789
1	160	47	5.6	30.3	0.756	0.745	1.135	0.607	0.900
1	160	47	7	30	0.755	0.736	1.174	0.631	0.873
1	153	41	4.7	30.0	0.708	0.68	1.090	0.590	0.884
