"ID","Maturity","B.CDE","Brominated.anisole","Brominated.indole","Chlordane.related","Chlorinated.benzene","Chlorinated.styrene","Chlorobenzaldehyde","DDT.related","Dichlorobenzophenone","DMBP","HCH.related","Heptachlor.related","MBP","MeO.B.CDE","MeO.BDE","MeO.PBB","Methylenebistrichloroanisole","Methylsulfonyl.PCB","Mirex.related","PBB","PBDE","PBHD","Pyrrolidinecarbonyl.chloride","TCPM","TCPMOH","Unknown","Unknown.2","Unknown.3","Unknown.4","Unknown.5","Unknown.6","Unknown.7","Unknown.8"
"BXD0003","M",0.004140827,0.006780591,0.007589854,4.660993163,0.933256325,0.0090851,0,9.803948633,0,3.500431526,0.748192428,0.194187216,0.775028454,0.005130803,0.119126399,0.038752612,0.317729251,0.009950862,0.529283221,0.074146242,5.693016563,0.194381016,0,4.684680623,3.799487279,0.353674368,0.441122145,0.008480126,0.071763423,0,0.00190289,0.011809301,0.420083589
"BXD0036","M",0,0.015453889,0,0.675034051,0.928256053,0,0.14901763,6.484795628,0,3.79911143,1.209254327,0,0.07460717,0.009651187,0.128097922,0.080470818,0.173250145,0,0.436767968,0.020505922,2.418306494,0.097322489,0,2.499664193,0.953737703,0.353902736,0.165413449,0.004817864,0.04329175,0.027676678,0,0.005145681,0.087136667
"CXG0035","I",0,0.004219515,0.01562159,1.617804906,1.223571163,0,0,4.342030162,0,3.300395038,1.046675253,0.117665085,0.391431057,0.010746132,0.142141697,0.028649601,0.029679452,0,0.072433049,0,0.700289532,0.125918997,0.003991131,0.471995422,0.710748345,0.037288452,0.081577815,0.015525858,0,0,0,0,0.020525799
"CYM0100","I",0.002471686,0,0.084577651,1.719964262,0.812214614,0.00832891,0,4.541700915,0,4.334300183,1.191826667,0.136499289,0.349589828,0.014092535,0.157169797,0.05194585,0,0,0.080169895,0,1.026868478,0.001403762,0,0.595782825,0.231798108,0.563433595,0,0.015343879,0,0.029918291,0,0,0
"EPM0299","I",0,0.009130244,0.020192941,1.614811301,1.341588069,0,0,4.449201267,0,2.261243374,0.85820516,0.13559785,0.480066417,0.006193377,0.112729249,0.039414507,0.017676118,0,0.044697263,0,0.856181146,0.067911251,0,0.370384129,0.49081582,0.727843814,0.054200525,0.019422019,0,0.025629041,0,0,0
"JEA0085","M",0.008514214,0.015448896,0,4.949244973,0.884377575,0.011111003,0.024582901,9.763773941,0,3.164034654,1.660780911,0.166528684,0.692915701,0.006265127,0.113283763,0.039004844,0.124327294,0.014877771,0.555741471,0.019518579,4.534387819,0.009564433,0,4.229933529,0.596823489,0.29717074,0.299467781,0.011132977,0.06528755,0,0,0,0.035123231
"JXA0060","I",0.003443004,0.006280627,0,1.337242525,0.969194825,0,0,5.61663149,0,2.01083382,1.142312559,0.074389641,0.25743091,0.005395607,0.080552044,0.008472595,0.102509807,0,0.105530235,0.001669156,2.050691479,0.172524669,0,1.224105997,1.582445866,0.487520766,0.206932754,0.015696341,0.006619044,0,0.017452443,0,0.059401349
"KAS0142","I",0,0.102735136,0,1.870290133,2.804413726,0,0,4.979692636,0,4.313236623,2.178811399,0.060305687,0.085631383,0.019290992,0.255896343,0.082145526,0.024224158,0,0.081311454,0,1.724133723,0.26958612,0,0.439728345,0.365535536,0.142145914,0.045159539,0.051929599,0,0.089162992,0,0,0
"KSS0008","M",0,0.0038749,0,2.540734433,0.86585973,0.005998195,0,6.22274703,0,3.547395342,1.093744562,0.154030968,0.667140925,0.007301674,0.118498657,0.068108874,0.130386213,0.005975984,0.272688549,0.023477943,3.694139955,0.078072651,0,3.064586317,2.550390013,0.595424296,0.288949756,0.00570769,0.021678906,0.035780385,0.000839576,0.00486911,0.127088263
"MCM0005","I",0,0.003089447,0.003960002,1.632997352,1.786363465,0,0,6.737074763,0,3.490779519,1.272602927,0.115700257,0.581867414,0.008121663,0.104019504,0.014068003,0.044160467,0,0.062454976,0,2.459128632,0.068705293,0,1.039671472,1.10813088,0.86481049,0.099401059,0.023181308,0,0.024877091,0,0,0.03721712
"MKW0020","M",0,0.01452513,0.009327628,1.213566158,0.7642197,0.009801721,0,6.652703555,0,2.977371764,1.089657781,0.100377011,0.07190442,0.008470835,0.123687514,0.042159205,0.217603918,0.006010504,0.40050883,0.050810842,3.849011281,0.147175088,0,3.518587841,0.640652518,0.347127454,0.134139636,0.01272156,0.069962583,0,0.002724185,0,0.271786035
"PBW0002","M",0.003653558,0,0.008826838,2.856263369,0.739298431,0.006024951,0,8.16094703,0.247980149,2.751541253,0.66787721,0.134363068,0.69133815,0.006931976,0.129917626,0.072780206,0.199127658,0.002426746,0.513577337,0.040941638,2.659315321,0.088541947,0,3.13431922,2.28344946,0.231882742,0.323977742,0.005188182,0.016949389,0,0,0.001556801,0.119236732
"SMH0021","M",0,0.002379999,0.006763199,4.290753729,0.60442208,0.044190466,0,9.923422188,1.156051452,2.982686262,1.583540251,0.185409149,0.421764704,0.003420405,0.06384791,0.034275711,0.706919781,0.031992587,0.896631354,0.158070193,3.544057856,0.101310447,0,9.966964774,8.026391143,0.460704748,1.736109599,0.006008207,0.065713941,0,0.002569375,0.032385577,0.766838064
"TCL0090","M",0,0.013537047,0.003665545,4.446502282,1.060767752,0,0,8.502266022,0.559645315,2.104975194,1.188831392,0.314852812,0.87164808,0,0.061792645,0.021893134,0.28352438,0.026771613,0.659659205,0.20620405,7.592061666,0.087481522,0,6.887577927,6.930206305,0.27715806,0.782100082,0.015951926,0.100569823,0.020062487,0.002448258,0.018458027,0.584451314
