YEAR,SITE,VEG_TYPE,SNOW_MELT_DATE_MODIS,SNOW_FALL_START_MODIS,CumC_uptake_Jun_Aug,precipitation_Jun_Aug,airT_Sept_mean
2003,ATQ,W2,158,271,,,
2004,ATQ,W2,152,265,-104.8,80.2,0.285
2005,ATQ,W2,162,289,-75.1,74.6,0.486
2006,ATQ,W2,159,271,-68.7,70.2,3.29
2007,ATQ,W2,154,270,-62.8,16.7,3.31
2008,ATQ,W2,159,273,-90.1,78.1,0.46
2009,ATQ,W2,142,286,,,
2010,ATQ,W2,160,267,,,3.39
2011,ATQ,W2,150,260,-92.4,36.2,2.34
2012,ATQ,W2,152,279,-87.2,47.8,1.11
2013,ATQ,W2,152,254,-94.2,147.5,-1.36
2014,ATQ,W2,161,254,-46.6,81.8,0.093
2015,ATQ,W2,142,272,-57.1,97.1,-0.797
2016,ATQ,W3,,,-44.77,,-4.52
2003,IVO,G4,160,246,,,
2004,IVO,G4,150,262,-106.4,145.1,-3.2
2005,IVO,G4,160,268,-87.5,96.3,1.82
2006,IVO,G4,150,294,-89.3,199.5,4.47
2007,IVO,G4,153,281,-160.4,133,2.57
2008,IVO,G4,153,263,,,
2009,IVO,G4,143,259,,,
2010,IVO,G4,156,267,,,
2011,IVO,G4,147,257,,,
2012,IVO,G4,153,269,,,
2013,IVO,G4,162,258,-76.6,32.5,-2.15
2014,IVO,G4,150,258,-59.9,53.2,-0.16
2015,IVO,G4,143,249,-70.5,74.6,-3.5
2016,IVO,G4,,,,,
2003,BES,W1,168,251,,,
2004,BES,W1,168,263,,,
2005,BES,W1,169,277,-51.7,,0.69
2006,BES,W1,167,272,-28.8,,-1.29
2007,BES,W1,161,271,-32.4,,-9.59
2008,BES,W1,165,266,-8.9,,0.74
2009,BES,W1,164,267,-59.47,,1.044
2010,BES,W1,172,262,-52.2,,2.9
2011,BES,W1,169,256,-67.74,,2.58
2012,BES,W1,163,273,,,
2013,BES,W1,161,257,,,-1.37
2014,BES,W1,171,250,-28.3,,-3.63
2015,BES,W1,158,263,-58,,-0.69
2016,BES,W1,,,-48.5,,
2008,Imnavait Creek,G4,143,263,-51.1,193.6,5.9
2009,Imnavait Creek,G4,155,259,-52.2,197.3,-0.78
2010,Imnavait Creek,G4,144,267,-79,173.2,1.78
2011,Imnavait Creek,G4,144,261,-67.7,96.5,-0.67
2012,Imnavait Creek,G4,150,281,-76.3,241,-0.8
2013,Imnavait Creek,G4,163,251,-69.9,,-2.65
2014,Imnavait Creek,G4,159,260,-69.4,,0.042
2015,Imnavait Creek,G4,140,236,-90.72,,-4.43
2000,DKZah,P2,,,-16.93,19,-1.79
2001,DKZah,P2,,,5.53,38.5,-0.37
2002,DKZah,P2,,,-3.92,30.5,0.46
2003,DKZah,P2,173,272,-10.53,12,0.55
2004,DKZah,P2,170,289,-9.22,23.1,-1.11
2005,DKZah,P2,165,259,-36.1,26.4,-1.47
2006,DKZah,P2,188,271,-24.9,24,-0.75
2007,DKZah,P2,168,270,-33,21.9,-1.23
2008,DKZah,P2,184,260,-16.4,51.1,0.67
2009,DKZah,P2,158,259,-18.36,36.2,-2.22
2010,DKZah,P2,170,274,-7.99,10,-0.572
2011,DKZah,P2,167,273,-24.45,15.6,-0.78
2012,DKZah,P2,186,272,-22.49,11.6,-0.14
2013,DKZah,P2,151,258,-11.65,77.7,1.36
2014,DKZah,P2,187,272,-7.34,62.5,-0.596
2015,DKZah,P2,191,262,,69.5,-1.22
2002,RUChe,W3,,,,,
2003,RUChe,W3,131,271,-68.15,31.9,6.081
2004,RUChe,W3,145,265,-65.7,44.8,4.72
2005,RUChe,W3,150,282,,,
2006,RUChe,W3,146,278,,,
2007,RUChe,W3,138,276,,,
2008,RUChe,W3,145,282,,,
2009,RUChe,W3,146,282,,,
2010,RUChe,W3,140,280,,,
2011,RUChe,W3,153,266,,,
2012,RUChe,W3,140,275,,,
2013,RUChe,W3,130,269,,,1.77
2014,RUChe,W3,148,279,-109.8,122.6,3.87
2015,RUChe,W3,153,264,-104.33,105,3.68
2016,RUChe,W3,139,,-154.21,118.7,4.39
2003,RUCoK,W2,163,260,-96.5,79.2,5.089
2004,RUCoK,W2,167,260,-165.17,62.1,3.92
2005,RUCoK,W2,152,283,-175.18,62.9,3.21
2006,RUCoK,W2,154,271,-127.1,88.6,3.23
2007,RUCoK,W2,165,269,-134.7,100.2,4.51
2008,RUCoK,W2,169,279,-108.2,99.3,2.99
2009,RUCoK,W2,159,272,-110,78.5,2.89
2010,RUCoK,W2,159,263,-84.9,85.2,9.56
2011,RUCoK,W2,162,265,-100.1,126.5,0.9
2012,RUCoK,W2,147,271,-152.7,85.4,1.21
2013,RUCoK,W2,157,250,-66.35,43.84,-0.31
2014,RUCoK,W2,157,276,,,
2015,RUCoK,W2,155,255,,,
