plant,block,herbivory,pollination,num_leaves,leaf1length,leaf1percdam,leaf2length,leaf2percdam,leaf3length,leaf3percdam
41,6,H,NP,5,7.5,0,10,1,11,5
42,6,M,HP,9,9,0,10,0,9,5
43,6,L,HP,11,7.5,0,8,10,9.5,2
44,6,L,NP,3,5,0,5.5,5,7.7,0
45,6,O,HP,14,9.5,5,10.5,10,10,2
46,6,H,HP,2,5,15,7.5,10,NA,NA
47,6,M,NP,3,7,0,10.5,10,6,0
48,6,O,NP,10,8.6,10,10,0,11,5
49,7,L,NP,5,6.6,0,5.8,0,7.6,0
50,7,H,HP,1,5.5,10,NA,NA,NA,NA
51,7,M,HP,13,6.7,0,7.7,0,8.9,0
52,7,M,NP,13,8.2,0,10.8,1,6.8,5
53,7,O,NP,12,7.6,1,7.6,0,7.4,1
54,7,O,HP,8,8.6,0,8,3,7.9,5
55,7,L,HP,10,8.1,1,9.6,1,9.2,3
56,7,H,NP,4,6,1,5.6,0,10.5,50
57,8,O,HP,9,9,2,9.5,1,9.5,5
58,8,H,HP,9,9.4,0,9,5,9.1,0
59,8,H,NP,8,8.5,5,9.6,0,10.5,0
60,8,L,NP,7,10,0,8.5,10,9.2,0
61,8,M,HP,9,8,0,8,5,8,0
62,8,M,NP,6,7.5,1,7.5,2,8,5
63,8,L,HP,5,8.5,0,9,2,9.5,0
64,8,O,NP,13,9,0,9,1,9,5
65,9,H,NP,3,9.5,0,11,15,5.5,1
66,9,L,NP,7,9.5,3,9,3,9.2,0
67,9,H,HP,7,8.8,1,7,0,11.5,30
68,9,L,HP,6,8.5,0,7.5,0,10.2,1
69,9,M,HP,10,8,0,8.4,3,8.7,0
70,9,O,HP,10,9.8,3,9.5,0,10.6,2
71,9,O,NP,12,9.6,3,10,2,10.5,15
72,9,M,NP,2,8.5,5,8.1,1,NA,NA
73,10,H,HP,3,7.5,0,10,1,11,5
74,10,M,HP,10,9.1,1,12.1,3,11.1,0
75,10,O,HP,12,9.5,0,10.3,1,9.2,20
76,10,O,NP,15,10,2,11.9,1,12.3,0
77,10,L,HP,12,9.3,1,10.3,0,9,5
78,10,H,NP,11,7.7,0,9.5,20,9.9,5
79,10,L,NP,11,9,2,9.3,0,10,0
80,10,M,NP,12,7.5,2,9.6,0,9.4,0
81,11,M,NP,10,8,0,7.2,2,8.2,1
82,11,L,NP,10,9.4,2,8.5,30,11.2,0
83,11,L,HP,12,8,0,9,1,9.3,0
84,11,O,NP,16,7,1,7.5,1,9.5,0
85,11,H,HP,6,6.2,0,9.2,1,11,1
86,11,M,HP,6,7.5,1,7.8,0,10.1,1
87,11,H,NP,5,6.3,0,8.8,15,11.7,2
88,11,O,HP,15,8.5,50,9,35,10.5,8
89,12,H,HP,8,7.2,2,6.5,0,11.4,1
90,12,O,HP,15,8.9,1,9.5,1,10,1
91,12,O,NP,13,9.1,1,9.9,0,9.3,2
92,12,L,HP,4,5.8,5,8.1,2,10,1
93,12,L,NP,7,6.6,0,7.2,1,10.5,2
94,12,M,NP,5,7,0,9.3,1,10.5,2
95,12,H,NP,4,6.5,1,9.5,1,10.8,2
96,12,M,HP,6,7.2,0,7.2,1,9.5,1
97,13,L,NP,8,6,30,7.5,5,8.5,0
98,13,O,HP,11,9.5,3,10.5,0,10,3
99,13,L,HP,13,7.5,0,7.6,2,7.8,3
100,13,H,HP,5,8.7,0,10.5,0,11.2,3
101,13,M,NP,7,5,2,7.2,4,10.4,25
102,13,H,NP,6,6.5,1,9.7,1,11.2,3
103,13,O,NP,16,8.2,0,10,0,9.7,1
