Farm	BoarPosTB	BoarSampledTB	DeerPosTB	DeerSampledTB	DeerPosCervi	DeerSampledCervi	OpenLand	ScrubLand	QuercusPlants	QuercusTrees	WildBoarIndex	ReedDeerIndex	EstateSize	Fenced
1	4	14	NA	NA	NA	NA	0.409	0.591	7	1.619	0.095	0	960	0
2	20	34	3	13	6	15	0.412	0.059	14.706	0.118	0.576	17.47	1100	1
3	4	5	0	23	28	28	0.182	0.136	5.318	4.045	0.45	19.412	2200	1
4	8	13	1	39	39	45	0.3	0.25	14.737	4.2	0.1	6.318	1700	1
5	7	23	0	6	13	13	0	0.571	9.333	0.952	0	4.364	4000	0
6	2	20	2	36	19	25	0.286	0.476	21.543	2.972	0.238	5.141	19328	0
7	7	21	NA	NA	NA	NA	0	0	2.619	1	0.025	0	3600	0
8	32	62	5	38	8	19	0.6	0.35	1.35	1.667	1.368	3.556	3000	1
9	5	25	NA	NA	NA	NA	0	0	8.714	0.429	0	0	2000	0
10	3	3	6	31	30	31	0	0.238	2.905	2.381	0.225	6.289	9234	1
11	1	7	NA	NA	NA	NA	0.042	0.292	4.217	0.522	0.023	0	408	0
12	16	18	11	25	NA	NA	0	0	11	3	4	44.554	220	1
13	33	41	28	150	76	165	0.565	0.435	2.04	0.958	0.904	17.236	860	1
14	3	9	1	90	2	4	0	0	2.667	5.333	0.3	6.286	50000	0
15	18	30	0	5	4	10	0.136	0.591	6.045	1.318	0.525	12.229	3000	1
16	8	20	1	14	10	17	0.143	0.619	8.238	2.19	1	7.778	3000	1
17	24	34	NA	NA	NA	NA	0.05	0.3	8	7.35	1.275	0	300	1
18	5	13	0	10	NA	NA	0.81	0.048	16.8	3.105	0.725	18.378	700	1
19	6	10	0	34	36	37	0	0.1	6.105	1.8	0.079	11.752	3100	1
20	11	20	6	29	28	36	0.346	0.038	7.192	5.654	0.188	15.691	6862	1
21	7	11	1	24	23	23	0	0.238	1.75	0.4	0.025	7.172	6118	1
22	7	13	0	13	7	18	0.35	0.55	4.65	2.5	1.974	3.986	700	1
23	7	15	0	27	32	34	0.19	0.048	1.143	0.714	0.075	6.135	2090	1
24	3	6	1	1	1	1	0.235	0.059	7.938	7	0.188	2.469	NA	1
25	0	11	0	51	46	58	0	0	17.5	10.8	0.85	7.159	640	1
26	15	18	NA	NA	NA	NA	0.273	0.682	11.85	0.263	1.3	0	800	1
27	5	6	0	11	18	19	0.2	0.1	6.15	1.65	0.306	13.021	800	1
28	12	26	0	7	13	14	0.143	0.381	12.444	4.571	0.105	20.636	2700	1
29	10	11	0	20	17	22	0.095	0.286	0.85	0.095	0.025	6.442	2159	1
30	14	38	1	15	11	13	0.5	0	10.727	8.591	0.105	9.387	10700	0
31	14	14	9	30	2	29	0	0	4	2.375	0.273	3.333	7429	1
32	3	8	2	11	7	9	0.55	0.05	5.263	4	0.361	6.185	4100	0
