Site,LimpetTreat,Fo,TempC
1,Ungrazed,125.6,13.60416667
1,Community,41.5,14.0625
1,austro,56.5,13.20833333
1,scabra,65,13.66666667
2,Ungrazed,122.3,13.72916667
2,Community,35,14.3125
2,austro,63.16666667,14.0625
2,scabra,77.16666667,14.20833333
3,Ungrazed,102.8333333,15.3125
3,Community,78.16666667,14.79166667
3,austro,45.66666667,14.54166667
3,scabra,32.16666667,14.25
4,Ungrazed,133.5,13.375
4,Community,68.5,13.29166667
4,austro,58.16666667,13.52083333
4,scabra,83.5,13.625
5,Ungrazed,127.5,13.35416667
5,Community,73.83333333,13.35416667
5,austro,55.66666667,13.35416667
5,scabra,52.16666667,13.70833333
6,Ungrazed,46.5,16.375
6,Community,38,19.4375
6,austro,30.16667,21.16666667
6,scabra,56.33333333,17.95833333
7,Ungrazed,44.3333,18.25
7,Community,32,19.55
7,austro,36.5,19.16667
7,scabra,53.3333,18.95
8,Ungrazed,126.333,14.79
8,Community,105.16667,14.05
8,austro,100.5,13.55
8,scabra,98.66667,13.78
